frame,timestamp_s,inference_ms,fps,n_detections,labels
1,0.451,451.34,2.22,0,
2,0.715,85.64,3.72,0,
3,0.848,85.3,4.82,0,
4,0.978,81.94,5.68,0,
5,1.121,91.26,6.29,0,
6,1.248,84.71,6.82,0,
7,1.38,83.11,7.27,0,
8,1.513,83.27,7.64,0,
9,1.648,83.9,7.96,0,
10,1.783,85.42,8.22,0,
11,1.913,83.0,8.47,0,
12,2.046,82.37,8.69,0,
13,2.181,83.33,8.88,0,
14,2.315,83.89,9.04,0,
15,2.448,83.63,9.19,0,
16,2.58,82.45,9.33,0,
17,2.72,89.03,9.43,0,
18,2.846,81.58,9.55,0,
19,2.981,83.59,9.65,0,
20,3.115,83.79,9.74,0,
21,3.25,85.19,9.82,0,
22,3.384,85.61,9.89,0,
23,3.515,83.81,9.97,0,
24,3.651,86.12,10.03,0,
25,3.783,84.81,10.09,0,
26,3.936,103.85,10.07,0,
27,4.095,96.19,10.08,0,
28,4.253,87.95,10.12,0,
29,4.396,96.91,10.13,0,
30,4.559,93.41,10.15,0,
31,4.685,85.88,11.58,0,
32,4.815,82.29,11.59,0,
33,4.95,84.34,11.6,0,
34,5.082,82.4,11.6,0,
35,5.216,82.94,11.63,0,
36,5.348,82.44,11.64,0,
37,5.481,81.38,11.65,0,
38,5.628,95.15,11.6,0,
39,5.751,84.42,11.6,0,
40,5.882,82.19,11.61,0,
41,6.015,81.75,11.62,0,
42,6.15,82.85,11.61,0,
43,6.284,84.1,11.61,0,
44,6.417,83.55,11.61,0,
45,6.55,82.79,11.62,0,
46,6.691,90.32,11.58,0,
47,6.825,91.31,11.57,0,
48,6.957,89.99,11.53,0,
49,7.092,90.88,11.5,0,
50,7.22,85.49,11.49,0,
51,7.353,84.81,11.49,0,
52,7.489,87.29,11.49,0,
53,7.623,88.27,11.47,0,
54,7.754,86.25,11.47,0,
55,7.906,105.02,11.38,0,
56,8.066,98.11,11.4,0,
57,8.224,89.56,11.43,0,
58,8.373,104.74,11.36,0,
59,8.531,96.33,11.36,0,
60,8.693,90.78,11.37,0,
61,8.829,93.66,11.34,0,
62,8.991,89.11,11.31,0,
63,9.124,88.4,11.29,0,
64,9.255,86.46,11.28,0,
65,9.387,84.16,11.27,0,
66,9.55,114.36,11.14,0,
67,9.71,107.58,11.03,0,
68,9.878,108.37,10.98,0,
69,10.029,92.52,10.94,0,
70,10.158,88.44,10.92,0,
71,10.296,92.7,10.88,0,
72,10.452,115.44,10.75,0,
73,10.607,104.02,10.67,0,
74,10.77,99.45,10.61,0,
75,10.928,90.89,10.58,0,
76,11.056,85.52,10.6,0,
77,11.19,86.1,10.62,0,
78,11.325,88.43,10.63,0,
79,11.468,97.0,10.6,0,
80,11.628,90.9,10.58,0,
81,11.757,85.59,10.58,0,
82,11.887,82.75,10.6,0,
83,12.026,87.87,10.6,0,
84,12.156,85.08,10.6,0,
85,12.291,86.04,10.67,0,
86,12.423,85.35,10.72,0,
87,12.553,81.61,10.75,0,
88,12.69,84.62,10.83,0,
89,12.826,87.34,10.87,0,
90,12.964,91.88,10.86,0,
91,13.097,91.39,10.87,0,
92,13.224,85.6,10.89,0,
93,13.358,86.11,10.9,2,cell phone;cell phone
94,13.489,83.26,10.91,0,
95,13.623,84.41,10.91,0,
96,13.755,82.68,11.03,0,
97,13.89,84.64,11.13,0,
98,14.024,84.89,11.23,0,
99,14.159,86.27,11.25,0,
100,14.293,86.85,11.26,0,
101,14.425,85.75,11.29,0,
102,14.556,83.0,11.43,0,
103,14.692,85.33,11.51,0,
104,14.826,86.45,11.57,0,
105,14.957,83.75,11.6,0,
106,15.089,82.95,11.61,0,
107,15.226,85.75,11.61,0,
108,15.357,83.92,11.63,0,
109,15.488,81.67,11.7,0,
110,15.626,86.2,11.72,0,
111,15.759,85.35,11.72,0,
112,15.889,81.86,11.73,0,
113,16.023,82.42,11.75,0,
114,16.161,86.64,11.75,0,
115,16.292,84.48,11.75,0,
116,16.424,83.12,11.76,0,
117,16.559,84.68,11.75,0,
118,16.692,83.98,11.75,0,
119,16.827,86.12,11.76,0,
120,16.959,84.29,11.79,0,
121,17.095,86.81,11.81,0,
122,17.228,86.38,11.81,0,
123,17.359,84.06,11.82,1,cell phone
124,17.493,85.05,11.81,0,
125,17.623,81.78,11.82,0,
126,17.76,84.64,11.82,0,
127,17.897,88.12,11.8,0,
128,18.03,87.6,11.79,0,
129,18.171,95.86,11.74,0,
130,18.334,91.29,11.72,0,
131,18.49,112.52,11.6,0,
132,18.641,98.12,11.53,0,
133,18.797,87.76,11.52,0,
134,18.927,84.73,11.53,0,
135,19.062,85.77,11.52,0,
136,19.191,81.44,11.53,0,
137,19.326,83.23,11.54,0,
138,19.459,82.29,11.55,0,
139,19.607,96.9,11.48,0,
140,19.763,86.17,11.48,0,
141,19.894,83.64,11.49,0,
142,20.026,82.57,11.48,0,
143,20.159,82.15,11.48,0,
144,20.293,82.58,11.5,0,
145,20.427,82.77,11.51,0,
146,20.561,83.92,11.51,0,
147,20.695,84.5,11.51,0,
148,20.827,82.58,11.51,0,
149,20.961,83.47,11.53,1,cell phone
150,21.098,86.74,11.51,1,cell phone
151,21.268,90.83,11.5,0,
152,21.401,89.94,11.48,0,
153,21.533,88.19,11.46,0,
154,21.667,88.65,11.45,0,
155,21.799,87.64,11.42,0,
156,21.929,84.64,11.42,0,
157,22.066,87.84,11.42,0,
158,22.196,84.45,11.44,0,
159,22.331,85.36,11.48,0,
160,22.471,91.83,11.48,0,
161,22.594,82.56,11.61,0,
162,22.728,83.14,11.68,0,
163,22.863,83.52,11.7,0,
164,22.997,84.45,11.7,0,
165,23.132,86.11,11.7,0,
166,23.26,80.63,11.7,0,
167,23.398,84.99,11.7,0,
168,23.533,87.56,11.67,0,
169,23.668,88.31,11.71,0,
170,23.801,87.93,11.7,0,
171,23.934,88.0,11.68,0,
172,24.07,90.61,11.65,0,
173,24.199,85.83,11.63,0,
174,24.329,82.55,11.63,0,
175,24.464,84.13,11.62,0,
176,24.599,85.76,11.62,0,
177,24.735,88.21,11.6,0,
178,24.864,84.15,11.59,0,
179,24.998,84.56,11.59,0,
180,25.147,99.6,11.53,0,
181,25.308,93.89,11.52,0,
182,25.445,97.85,11.48,0,
183,25.604,89.12,11.48,1,cell phone
184,25.74,92.37,11.46,1,cell phone
185,25.877,95.81,11.43,1,cell phone
186,26.042,94.1,11.38,1,cell phone
187,26.207,92.26,11.37,1,cell phone
188,26.338,89.64,11.34,1,cell phone
189,26.472,90.47,11.32,1,cell phone
190,26.604,88.79,11.33,1,cell phone
191,26.749,101.07,11.26,1,cell phone
192,26.914,99.38,11.19,1,cell phone
193,27.07,88.0,11.17,1,cell phone
194,27.202,86.32,11.16,1,cell phone
195,27.334,85.68,11.16,1,cell phone
196,27.469,86.92,11.14,1,cell phone
197,27.606,90.24,11.11,1,cell phone
198,27.738,88.48,11.11,1,cell phone
199,27.869,86.78,11.12,1,cell phone
200,27.998,82.07,11.14,1,cell phone
201,28.136,86.15,11.15,1,cell phone
202,28.269,86.2,11.17,1,cell phone
203,28.406,89.5,11.15,1,cell phone
204,28.54,90.65,11.12,1,cell phone
205,28.712,94.95,11.07,1,cell phone
206,28.889,105.02,11.0,1,cell phone
207,29.044,93.4,10.98,1,cell phone
208,29.211,94.14,10.94,1,cell phone
209,29.376,91.78,10.91,1,cell phone
210,29.503,86.1,10.96,1,cell phone
211,29.642,91.33,10.97,1,cell phone
212,29.788,104.31,10.94,1,cell phone
213,29.941,90.63,10.94,1,cell phone
214,30.116,98.5,10.91,1,cell phone
215,30.274,89.76,10.94,1,cell phone
216,30.405,87.52,10.96,1,cell phone
217,30.541,89.72,10.97,1,cell phone
218,30.669,84.27,11.0,1,cell phone
219,30.802,84.48,11.02,1,cell phone
220,30.937,85.63,11.03,1,cell phone
221,31.066,80.95,11.12,1,cell phone
222,31.201,82.88,11.18,1,cell phone
223,31.334,82.51,11.21,1,cell phone
224,31.467,82.36,11.22,1,cell phone
225,31.603,84.64,11.23,1,cell phone
226,31.752,99.96,11.17,1,cell phone
227,31.915,95.73,11.15,1,cell phone
228,32.073,88.0,11.15,1,cell phone
229,32.214,94.83,11.12,1,cell phone
230,32.374,88.88,11.09,1,cell phone
231,32.516,97.38,11.05,1,cell phone
232,32.676,90.52,11.03,1,cell phone
233,32.816,97.17,11.0,1,cell phone
234,32.971,85.03,11.02,1,cell phone
235,33.103,84.04,11.06,1,cell phone
236,33.235,81.85,11.16,1,cell phone
237,33.37,83.89,11.2,1,cell phone
238,33.504,84.29,11.24,1,cell phone
239,33.638,85.24,11.27,1,cell phone
240,33.77,83.76,11.28,1,cell phone
241,33.904,83.47,11.31,0,
242,34.036,82.55,11.4,0,
