frame,timestamp_s,inference_ms,fps,n_detections,avg_confidence,avg_depth_m,avg_area_px
1,0.378,285.88,3.5,0,0.0,0.0,0.0
2,0.575,37.09,6.19,0,0.0,0.0,0.0
3,0.676,37.91,8.31,0,0.0,0.0,0.0
4,0.773,34.8,10.11,0,0.0,0.0,0.0
5,0.87,32.99,11.66,0,0.0,0.0,0.0
6,0.979,39.25,12.82,1,0.679,0.491,12061.0
7,1.078,39.36,13.8,1,0.6985,0.499,12581.0
8,1.174,36.24,14.72,2,0.617,0.947,10453.0
9,1.278,39.38,15.44,2,0.6663,0.953,11892.0
10,1.379,39.79,16.06,2,0.7319,0.923,6968.5
11,1.48,39.9,16.6,2,0.8341,0.917,5884.0
12,1.579,39.39,17.09,1,0.8427,0.467,12599.0
13,1.679,39.63,17.53,1,0.8519,0.472,13903.0
14,1.778,38.83,17.94,1,0.8476,0.477,16340.0
15,1.874,35.53,18.38,1,0.8385,0.479,17761.0
16,1.978,38.22,18.73,1,0.8212,0.479,19091.0
17,2.079,39.15,19.03,1,0.7998,0.485,23186.0
18,2.18,40.0,19.29,1,0.7999,0.483,28931.0
19,2.276,36.43,19.59,2,0.7728,0.924,14836.0
20,2.378,37.94,19.85,1,0.8049,0.494,28214.0
21,2.479,38.77,20.07,1,0.7923,0.494,28193.0
22,2.581,40.23,20.24,1,0.7988,0.495,27982.0
23,2.68,39.51,20.42,1,0.7907,0.498,27596.0
24,2.78,39.5,20.59,1,0.7821,0.498,27296.0
25,2.876,36.2,20.8,1,0.7644,0.501,27020.0
26,2.979,38.65,20.96,1,0.7622,0.501,26939.0
27,3.079,38.44,21.11,1,0.7613,0.502,26908.0
28,3.18,39.23,21.24,1,0.7549,0.501,26790.0
29,3.28,38.91,21.37,1,0.7451,0.505,26647.0
30,3.38,39.33,21.48,1,0.748,0.504,26642.0
31,3.481,38.97,26.1,1,0.7607,0.505,26581.0
32,3.582,40.48,26.02,1,0.7552,0.502,26704.0
33,3.68,39.19,25.99,1,0.7601,0.504,26670.0
34,3.781,39.25,25.89,1,0.7533,0.506,26530.0
35,3.88,38.77,25.76,1,0.7636,0.504,26587.0
36,3.98,39.24,25.76,1,0.7627,0.504,26651.0
37,4.08,39.08,25.77,1,0.754,0.504,26650.0
38,4.177,36.4,25.77,1,0.7551,0.505,26495.0
39,4.28,38.36,25.79,1,0.7493,0.505,26495.0
40,4.381,39.51,25.79,1,0.7382,0.504,26602.0
41,4.481,39.18,25.81,1,0.7505,0.502,26537.0
42,4.579,37.59,25.85,1,0.7247,0.506,26704.0
43,4.678,36.99,25.91,1,0.724,0.512,25515.0
44,4.78,38.56,25.92,1,0.7408,0.512,25419.0
45,4.881,38.82,25.84,1,0.7574,0.517,25468.0
46,4.982,40.07,25.8,2,0.7566,0.927,17312.0
47,5.082,39.68,25.79,2,0.7888,0.919,14672.0
48,5.182,39.39,25.8,1,0.828,0.453,27081.0
49,5.281,39.11,25.74,1,0.8217,0.447,22100.0
50,5.382,39.48,25.71,1,0.78,0.449,21115.0
51,5.479,37.55,25.74,1,0.8058,0.45,24700.0
52,5.581,38.31,25.78,1,0.8374,0.447,28618.0
53,5.682,39.18,25.79,1,0.845,0.447,31823.0
54,5.781,38.9,25.8,1,0.8556,0.447,33264.0
55,5.881,38.58,25.75,1,0.8709,0.445,31510.0
56,5.982,38.98,25.74,1,0.8696,0.442,30500.0
57,6.081,38.89,25.73,1,0.875,0.442,29060.0
58,6.181,38.41,25.75,1,0.8703,0.44,25234.0
59,6.282,38.7,25.75,1,0.8747,0.439,20941.0
60,6.382,38.99,25.76,1,0.8748,0.443,17419.0
61,6.482,39.37,25.75,1,0.8815,0.438,15754.0
62,6.583,40.26,25.76,1,0.87,0.442,16287.0
63,6.683,40.36,25.73,1,0.8721,0.434,20326.0
64,6.782,39.62,25.72,1,0.8733,0.432,25119.0
65,6.879,36.87,25.76,1,0.8642,0.422,26724.0
66,6.982,39.02,25.77,1,0.8226,0.418,18716.0
67,7.082,39.36,25.76,2,0.7464,0.851,15450.5
68,7.183,39.51,25.69,1,0.8926,0.41,30155.0
69,7.281,38.49,25.69,1,0.8581,0.402,29918.0
70,7.384,39.58,25.69,1,0.8498,0.398,27048.0
71,7.482,38.38,25.71,1,0.8933,0.387,33846.0
72,7.582,38.43,25.69,1,0.8209,0.384,24653.0
73,7.683,38.72,25.65,1,0.7716,0.388,45757.0
74,7.785,40.37,25.61,1,0.8336,0.369,51476.0
75,7.879,35.54,25.68,1,0.7975,0.349,36428.0
76,7.979,36.0,25.77,1,0.8167,0.321,6586.0
77,8.081,37.11,25.83,0,0.0,0.0,0.0
78,8.182,37.93,25.86,0,0.0,0.0,0.0
79,8.283,38.28,25.88,0,0.0,0.0,0.0
80,8.384,38.68,25.9,0,0.0,0.0,0.0
81,8.485,39.85,25.85,0,0.0,0.0,0.0
82,8.584,38.67,25.84,0,0.0,0.0,0.0
83,8.683,38.16,25.86,0,0.0,0.0,0.0
